 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

1229025,201501,1801-2400,P50.TRACON,AZ,,,,5000,,,,,,,TRACON P50,Air Taxi,Small Transport,,2,Part 135,VFR,Skydiving,,Cruise,,Class B PHX,,,,,,,,,,,,,,,TRACON P50; Tower PHX,Air Carrier,Large Transport,,2,Part 121,IFR,Passenger,,Initial Climb,Vectors,Class B PHX,,,,,,,,,,,Facility P50.TRACON,,Government,Traffic Management,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (mon) 12,,Confusion; Communication Breakdown; Distraction; Time Pressure; Situational Awareness,Party1 ATC; Party2 Flight Crew,1229025,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy; Deviation - Procedural Clearance,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Took Evasive Action,Procedure; Human Factors,Procedure,"I was working the TMC position. The arrival coordinator position was also combined to me and I was handling those duties during this period. I spoke with a coordinator for Aircraft X via telephone. During this time we discussed his request for a parachute simulation just east of PHX. My understanding was this was going to be a simulation run with three passes dropping streamers. I advised due to departure traffic there may be a delay for his requested time but felt confident I could work out this request within our facility and PHX Tower. Aircraft X was airborne around the coordinated time. We held the Aircraft X aircraft for approximately 30 minutes due to departure traffic off of PHX. I coordinated with the PHX TMC to stop departures to allow for Aircraft X to make his run. Aircraft X advised our controller he would only need one run which worked out better for both P50 and PHX. After departures were stopped Aircraft X started his run. Once over the target Aircraft X advised his run was complete and would RTB [Return To Base]. Once Aircraft X was no longer in the departure corridor I released departures at PHX. Shortly after this; Aircraft Y started his roll and climb out. Tower called and advised Aircraft Y was making an immediate right turn to avoid parachute jumpers just east of Phoenix. I acknowledged this and advised the south departure controller. I also advised the FLM at this time. These jumps should be coordinated well in advance. Going forward I will need to verify that there are or are not jumpers during coordination.",,,,"P50 TMC describes a situation where an aircraft is supposed to make three runs over a target; then when airborne changes its plan and drops skydivers unknown to ATC. Departing traffic has to deviate around falling skydivers.",
1229202,201501,0601-1200,IAD.Airport,DC,,,,19000,VMC,,,,,,Center ZDC,Air Carrier,B777 Undifferentiated or Other Model,,2,Part 121,IFR,,FMS Or FMC,Final Approach,,Class A ZDC,,,,,,,,,,,Tablet,,X,Failed; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Distraction; Human-Machine Interface; Situational Awareness; Troubleshooting,,1229202,,,,,,,,,,,Aircraft Equipment Problem Less Severe,,N,Person Flight Crew,In-flight,Aircraft Equipment Problem Dissipated,Aircraft; Human Factors; Manuals,Aircraft,"I had my company issued iPad in the Ram mount and was using Jepp FD Pro for the STAR and subsequent approach. Since we were planning a VMC autoland; I wanted to quickly review the callouts in [the Electronic Flight Manual [EFM]. However; when I selected [that content]; I got the blue screen. I tried going back to the home page; then back to [EFM]; no joy. Also tried going back to Jepp FD Pro and back to [the EFM]; also no joy. I didn't have time to turn the iPad off and back on since we were given an unexpected runway and it got busy. When I got caught up I tried [the EFM] again and after at least five minutes of the blue screen; it worked normally (albeit slowly) again.  I should add that the bunky's iPad also hung up.Fortunately; we have paper approach plates; but we have no paper [operational manuals]. What if we had an emergency and needed to access the manuals immediately? It is true that much FM information is also available on the ECL [Electronic Check List]; but the forward and lower screens are in use for other displays in this phase of flight; and the FOM and [other manuals] are not displayable on the aircraft screens. The sole reliance upon electronic media for these documents is foolhardy.",,,,"A B777 flight crew preparing for a VMC autoland was unable to access and review the Operations Manual guidance on their iPads. The reporter feels sole reliance on electronic media for such data is 'foolhardy.'",
1229263,201501,0601-1200,D10.TRACON,TX,,,,11000,IMC,Icing; Rain,,,,,TRACON D10,Air Carrier,MD-80 Series (DC-9-80) Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC; Localizer/Glideslope/ILS Runway 36R,Descent,STAR JOVEM1,Class B DFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),,,Workload; Time Pressure; Distraction; Confusion; Communication Breakdown; Human-Machine Interface,Party1 Flight Crew; Party2 Flight Crew,1229263,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Workload; Communication Breakdown; Confusion; Distraction; Human-Machine Interface; Time Pressure,Party1 Flight Crew; Party2 Flight Crew,1229265,ATC Issue All Types; Deviation - Altitude Overshoot; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Procedural Published Material / Policy; Deviation - Procedural Clearance,,,Automation Air Traffic Control; Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented; Flight Crew Returned To Clearance,Aircraft; Weather; Procedure; Manuals; Human Factors,Human Factors,"Descending into DFW on the Jovem1 RNAV arrival (and 'descending via'); we were in icing conditions; retrieving a new ATIS; and then assigned Runway 36R (instead of 36L that we were set up for). Passing JOVEM (with a 12;000 foot restriction) I believe I set 11;000 for MSSLE intersection; but either set the wrong altitude; or bumped the setting down as I let go. Both the FO and I believe we pointed to the altitude alert button and said '11;000 and set;' but we were simultaneously switching iPad pages to set up the new ILS approach and coordinate it; and deciding to select the tail de-ice. I watched the aircraft level off through ALT CAP then ALT HOLD; but then ATC advised us we leveled off at the wrong altitude (10;000 instead of 11;000). We thought we were managing the automation; runway change; icing; and etc. fine until this notification.Fortunately there was no traffic conflict. ATC advised us to maintain 10;000; then gave further descent instructions as we proceeded for our approach. The workload for the 'descend via' in and MD80 is already high. Then we were given a runway change to load and brief. Icing and rapidly changing ATIS reports added to our workload. Finally; I'm not sure if the FO and I held hands on the altitude alert switch on this occasion or not; but several times we both tried to reset it; or neither of us did and we stared at each other until we realized who was supposed to do it. We are both trying hard to comply with the recent company procedure change; but many years of ingrained training is difficult to adjust in a short time. Also; I love the iPads; but sometimes it is an added workload to switch between pages at a critical time; where as in the paper chart days I could have had the arrival and the approach pages out at the same time. I'm not complaining here. I like the automation progress; and the FO and I both believed we were managing all the systems safely and adequately; but somehow the altitude setting slipped by us on this descend via clearance.",,"The Captain was flying the Jovem1 Arrival to DFW when we were surprised by a call from ATC stating that we leveled off 1;000 feet below our altitude; but not to worry 'no traffic issues' maintain 10;000. What??? The CA and I were puzzled; looked at the altitude alerter; saw 10;000; looked at each other and agreed he had set 11;000. We knew this to be true because he set it; pointed at it; and vocalized he was setting 11;000 for MSSLE. I agreed and stated that 11;000 was good; all the way to Siler. No excuses for not catching the aircraft descending thru 11;000; but both of us find it hard to believe the alerter was set wrong; since we had the verbal exchange referenced above. Did the alerter jump a digit? Doesn't seem likely. Did the alerter get accidentally bumped? I can't imagine that happening. As to task loading that allowed the level-off to be missed: this was an unusual morning with freezing rain taking place at DFW; and the surprise of being assigned 36R as our landing runway merely a minute or so before this infraction took place. The Captain was in the process of changing the FMS; I was in the process of opening up the Jeppesen page for the unusual landing runway and resetting my nav instruments; we were on autopilot; and really thought we were on top of things.Once again; not making any excuses; but my observations are that the new altitude alerter setting procedure is causing some confusion in our MD80 cockpits that will take a bit of time to iron out. We've all been doing the same routine for a very long time and are expending a lot of mental energy right now with our attempts to overcome our old habits. It's one thing to say 'just whoever gets to the alerter knob first; set it;' but when we bump into each other; or worse yet; hesitate just long enough to ask yourself the question 'am I supposed to set it or him;' the smooth flow of operation is interrupted. Add to it the fact that we're still getting used to the increased workload the RNAV approaches have dropped on us. Yes; the new cockpit procedures will soon become routine; and yes the new RNAV approaches are becoming easier.We were lucky today that departure traffic was light.Lesson learned: even a simple 1;000 altitude change needs to be closely monitored for a successful capture!",,"An MD-80 flight crew inadvertently set a lower altitude than the one assigned and flew to the improper altitude. ATC noted the deviation and provided a new clearance. The reporters noted that the high workload on arrival prevented them from catching their error.",
1229382,201501,1801-2400,ASE.Tower,CO,,,,12000,VMC,,,,,,Tower ASE,,Light Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,,,Initial Climb,Vectors,Class D ASE,,,,,,,,,,,,,,,Tower ASE,,Medium Transport; Low Wing; 2 Turbojet Eng,,2,Part 91,IFR,,,Final Approach,,Class D ASE,,,,,,,,,,,Facility ASE.TOWER,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (mon) 3,,Distraction; Training / Qualification; Confusion,,1229382,Facility ASE.TRACON,,Government,Approach; Departure,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 2.75,,Distraction; Communication Breakdown; Training / Qualification; Situational Awareness,Party1 ATC; Party2 ATC; Party2 Flight Crew,1229391,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy; Deviation - Track / Heading All Types,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance,Human Factors; Procedure,Procedure,"Aircraft X was cleared for takeoff when an aircraft was on a five mile final opposite direction (standard procedure). Aircraft X was instructed to maintain 12;000 feet; and not to exceed 230kts because Aircraft X was out performing the previous departure. Noticing that Aircraft X was out performing the first departure I told the pilot I will call your west bound turn. Pilot acknowledged and when I saw previous departure was no factor I thought I instructed Aircraft X to start his westbound turn on the LINDZ8 departure (to be westbound in front of Aircraft Y that was on a 12 mile final) and to contact departure. In fact after listening to the tapes I failed to resume his left turn. After switching to departure he told departure he was responding to a RA with Aircraft Y on a 10 mile final. I was still applying visual separation. What did not help the situation is an aircraft VFR calling multiple times even after not responding to that VFR aircraft.I will no longer switch aircraft to departure until I see the aircraft through the arrivals final approach course.",,"I was working numerous arrivals and departures. Aircraft that depart are on a SID; LINDZ8; that turns right heading 343 when off the runway then turns west reaching 9;100 feet to a 273 heading to join an IPKN outbound 303 heading. When aircraft reach the MVA departure will vector. Tower has automatic release for LINDZ8 departures. Aircraft X was stopped at 12;000 feet by tower due to additional traffic he was catching up to on the same departure procedure and coordinated via strip marking with radar. Aircraft X checks on with me at 12;000 feet; 6 miles north of airport and says on a 330 heading. I said turn westbound now heading 273 per the LINDZ8 departure; traffic 5 miles north descending out of 125; he said ok and started turning. I called traffic for the second time and said traffic one o'clock; 3 miles descending [aircraft type]; as Aircraft X was crossing his path and Aircraft X said he was responding to an RA and started descending. Tower controller said he had visual separation between the two aircraft. Aircraft X was then climbed to FL210 and turned on course. Tower had told Aircraft X that he would 'Call' his westbound turn and never did and switched the aircraft over to departure. I recommend tower needs to hold on to departures until they are established west of the final approach course.",,"ASE Controller describes an opposite-direction arrival and the loss of separation that ensued with a departure.",
1229386,201501,1801-2400,PHL.TRACON,PA,,,,,,,,Dusk,,,TRACON PHL,,Any Unknown or Unlisted Aircraft Manufacturer,,,,None,,,Final Approach,Visual Approach,Class B PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility PHL.TRACON,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 4.5,,Communication Breakdown; Confusion; Distraction; Situational Awareness; Troubleshooting; Workload,Party1 ATC; Party2 ATC,1229386,,,,,,,,,,,ATC Issue All Types; Deviation - Procedural Clearance; Deviation - Procedural Published Material / Policy,,,Person Air Traffic Control,,,Airspace Structure; Human Factors; Procedure,Procedure,"PHL airport sits adjacent to the Delaware River. When we are running visuals to runway 35; we must be aware of 'Tall ship' activity in the channel. If it is daylight; we must tell the pilot about the ship; its type and direction; and advise the pilot to 'Call the ship in sight'. After dark; we must suspend arrivals to runway 35 until such time that the ship is clear of the channel. River Watch (city of Philadelphia) advises TRACON OM of ship activity. Today I was working W; running the final to runway 35; during a very busy push. I hadn't been on position for very long at the time of the incident. During the position relief briefing when I took the sector; the controller being relieved did not tell me about any ships in the channel at the approach end to runway 35. Just after he unplugged and walked away; he came back over and told me that there was currently a ship in the channel. I made the 'Ship in the channel' call to an aircraft that I had just cleared for the visual; and switched him to tower. A very short time later I heard the supervisor say that the first ship was clear and that there would be another ship later. The supervisor did not make this call to me on a recorded line; nor did he make this statement directly to me; instead it was shouted in the room. I was very busy at the time. I did hear another controller ask the supervisor if the 2nd ship was due to arrive around sunset; to which the supervisor said yes. Because I was busy; I didn't look at the current time; nor did I try to determine what time sunset was. I figured the supervisor would advise me when the next ship entered the channel; and if it were due to arrive after dark I assumed he would give me a 'Suspend' time.A while later I over [heard] another controller elsewhere in the TRACON talking about the ship in the channel. I turned around and asked the controller if there was a ship in the river; to which the controller said 'Yeah; I think so. Any time now.' I asked what time sunset was and the controller said XA47z. I looked at the clock and it was XA47z. I heard nothing from the supervisor.  I turned and asked the supervisor if there was a ship in the river and he said 'Yes; but we don't need to suspend.' I told him that it was after sunset; and he told me that River Watch had said the ship would be clear before sunset. I questioned him again; because he had just told me there was a ship in the river and it was already after sunset. The supervisor again told me that the ship would be no factor. I didn't understand how he could be saying this; as there was a ship in the river (as per him) and it was after sunset. About that time the phone rang; it was River Watch advising that the ship was clear. It was about 2 minutes after sunset.In any case; I was not advised of this ship in the river ahead of time; as I am supposed to be. I had been running traffic to runway 35 with this ship in the river and had not been making my 'Ship advisories'. Furthermore; after the sun went down; we should have stopped arrivals to runway 35 all together until the ship was clear. This didn't happen. The supervisor's communication regarding the ships in the channel was terrible. I was not told about the 2nd ship; and clearly the supervisor was confused over what was supposed to happen at sunset.1. Supervisors should be required to advise the W controller of ships in the river; and suspend/clear times; on a recorded landline.2. Supervisors should be briefed on what we are supposed to do with runway 35 arrival traffic; after sunset; when there is a ship in the channel.",,,,"PHL Tower Controller describes a notification procedure of ships in the channel; which identifies a procedure where in day time hours the pilots must report the ship in sight. At night the controllers must suspend arrivals to Runway 35 until the ship is clear of the channel. The controller working complained of bad coordination from the Front Line Manager and not knowing if a ship was in the channel at sunset.",
1229390,201501,1801-2400,DAB.Tower,FL,,,,1000,IMC,,,Night,,,Tower DAB,Air Carrier,Medium Large Transport,,2,Part 121,IFR,Passenger,,Final Approach,Other Instrument Approach,Class C DAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility DAB.Tower,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 5.5,,Troubleshooting; Situational Awareness; Distraction; Communication Breakdown; Confusion,Party1 ATC; Party2 ATC; Party2 Flight Crew,1229390,,,,,,,,,,,ATC Issue All Types; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance,Procedure; Human Factors; Equipment / Tooling; ATC Equipment / Nav Facility / Buildings,ATC Equipment / Nav Facility / Buildings,"The previous arrival reported a deflection in the runway 7L localizer when intercepting the glideslope. Aircraft X was inbound on the runway 7L ILS while DAB was below basic VFR minima. I advised Aircraft X of the previous arrival's report and watched him closely as he was inbound. I could not see him out the window because of poor visibility but saw that he appeared low on the TDW [Tower Display Workstation]. The LA [Low Altitude Alert] did not alarm but I was about to issue one anyway because of his proximity from the FAF [Final Approach Fix] and the terrain. Before I keyed the mic I remembered that our tower video map has been wrong for the past few years. The runway 7L ILS approached changed FAFs and their locations. TOMOK was the old fix that is still displayed on the map but the new fix FOLIG is in a different place. If I had issued a LA based on the incorrect fix despite the aircraft's altitude being fine; it could have resulted in pilot disorientation in IMC.This map; along with a few other TRACON maps; need [to be] updated. I have talked to our OM [Operations Manager] about the issue several times in the past and nothing seems to get done. Two TRACON maps show incorrect boundary lines with adjacent facilities which could result in ODs [Operational Deviations]. The tower map with the incorrect FAF is the more important of the maps to get corrected because it can affect aircraft at low altitudes in poor weather conditions.",,,,"DAB Controller describes a possible situation due to the tower TDW [radar display] maps not showing the correct position of intersections on the map.",
1229414,201501,0001-0600,LGB.Tower,CA,,,,200,,,,,,,Tower LGB,,Medium Transport; Low Wing; 2 Turbojet Eng,,2,,VFR,,,Final Approach,None,Class D LGB,,,,,,,,,,,,,,,Tower LGB,,Small Aircraft,,1,Part 91,IFR,,,Final Approach,Other Instrument Approach,Class D LGB,,,,,,,,,,,Facility LGB.Tower,,Government,Other / Unknown,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 6,,Confusion; Situational Awareness,,1229414,,,,,,,,,,,ATC Issue All Types; Conflict NMAC; Deviation - Procedural Clearance; Ground Incursion Runway,,,Person Air Traffic Control,In-flight,,Human Factors; Procedure,Procedure,"Aircraft X was on final for Runway 30 and Aircraft Y was on final for Runway 25L. The aircraft were a tie for the intersection. The CIC told LC1 to watch her intersection with more than enough time. LC1 didn't send Aircraft Y on final for Runway 25L around until it was well over pavement of the runway and still an issue with the landing Aircraft X. The closest proximity was about 500 feet laterally and 50 feet vertically. When the airman complained; The LC1 stated that she didn't think it was very close. Refresher with the controller on LC1 about acceptable and safe separation of the intersection.",,,,"LGB Controller describes an operational error because a local controller did not send the slower aircraft around until it was already past the threshold.",
1229426,201501,1801-2400,VNY.Airport,CA,,,0,,,,,,,,Ground VNY,,Small Transport; Low Wing; 2 Turbojet Eng,,2,,,,,Taxi,None,,,,,,,,,,,,,,,,Tower VNY,,Skyhawk 172/Cutlass 172,,,,VFR,,,Initial Climb,None,Class D VNY,,,,,,,,,,,Facility VNY.TOWER,,Government,Ground,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 1.5,,Confusion; Communication Breakdown; Situational Awareness,Party1 ATC; Party2 ATC,1229426,,,,,,,,,,,ATC Issue All Types; Conflict Ground Conflict; Less Severe; Deviation - Procedural Clearance; Ground Incursion Runway,,,Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Air Traffic Control Separated Traffic,Human Factors; Procedure,Procedure,"Working a moderately busy session on ground control; Aircraft X; had taxied to a FBO; but after pulling onto the ramp found out they needed to go to another FBO; on the other side of the runway.  [City Vehicle] and tow was headed north on Bravo; holding Short of runway 16R at Q; also destined for the FBO. I also had several aircraft calling for taxi clearance and taxi back to parking. I authorized the tug southbound on taxiway A and then authorized Aircraft X to taxi south on B to hold short of runway 16R at P.During this time I was scanning the LC1 traffic; and looking for the best opportunity to cross both Aircraft X and the city vehicle. I observed a C172 on short final for RWY 16R and also a jet about 4 miles in trail. I Coordinated with LC1; 'After short final Cessna; beat the jet traffic; Cross runway 16R at P and Q.' LC1 responded 'Approved as requested; cross RY16R at P and Q'. I observed the landing Cessna at taxiing speed and starting to make its turn off of runway 16R. I issued clearance for Aircraft X to 'Cross runway 16R at P and then straight ahead to the FBO.' Aircraft X began to move; I then issued instructions for city vehicle to cross runway 16R at Q; as I did this I observed the C172 becoming airborne abeam intersection H and issued instructions for the city vehicle to hold position. I then inquired from the LC1 controller as to why they had not told me that their short final was a touch-and-go. The response from the LC1 controller was 'I don't have to tell you that'. Aircraft X was clear of runway 16R by the time the C172 was approximately 1500-1800 feet north of the intersection; southbound; airborne over RWY 16R.The LC1 controller was relieved from position soon after the incident. Expectation bias; that the aircraft was a full stop and also that the LC1 would tell me if they were not; led up to this incident. I believed that they had made a full stop; I also believed that I saw the aircraft turning to exit. Had I waited just a little bit longer; I would have noticed that the aircraft was not in fact exiting but was powering up. I believe that the LC1 also thought the C172 was a full stop and forgot that they had approved a touch-and-go and a crossing. LC1 was [name removed]. When giving conditional crossings; ensure that you know or confirm exactly what the traffic is doing that you are giving conditions based on. Don't offer conditions. Let the appropriate LC controller impose conditions on your request.",,,,"VNY Tower Ground Controller describes a situation where he asked local control to cross traffic after aircraft on short final and before traffic on 4 mile final. Local approved the request. Ground then observed traffic landing; told aircraft to cross; and then observed aircraft landing make a touch and go. Ground held crossing aircraft; and asked local as to why he didn't tell him it was a touch and go.",
